页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
56,87059099,----其他,12,35, ,10
56,87059091,----混凝土泵车,12,35, , 
56,8705909,---其他:, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
57,87059080,---石油测井车、压裂车、混沙车,12,35, , 
57,87059070,---道路（包括跑道)扫雪车,12,35, , 
57,87059060,---飞机加油车、调温车、除冰车,12,35, , 
57,87059059,----其他,12,30, , 
57,87059051,----航空电源车（频率为 400赫兹),12,30, , 
57,8705905,---电源车：, , , , 
57,87059040,---医疗车,12,30, , 
57,87059030,---环境监测车,12,20, , 
57,87059020,---放射线检查车,9,14, , 
57,87059010,---无线电通信车,9,35, , 
57,87059,-其他：, , , , 
57,87054000,-混凝土搅拌车,15,35, , 
57,87053090,---其他,3,8, , 
57,87053010,---装有云梯的救火车,3,8, , 
57,87053,-救火车：, , , , 
57,87052000,-钻探车,12,17, , 
57,87051093,----最大起重重量超过100吨,10,30, , 
57,87051092,----最大起重重量超过50吨，但不超过100吨,10,30, , 
57,87051091,----最大起重重量不超过50吨,15,30, , 
57,8705109,---其他：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
58,87051023,----最大起重重量超过100吨,10,30, , 
58,87051022,----最大起重重量超过50吨，但不超过100吨,10,30, , 
58,87051021,----最大起重重量不超过50吨,15,30, , 
58,8705102,---全路面起重车：, , , , 
58,87051,-起重车：, , , , 
58,8705,特殊用途的机动车辆（例如，抢修车、起重车、救火车、混凝土搅拌车、道路清洁车、喷洒车、流动工场车及流动放射线检查车)，但主要用于载人或运货的车辆除外：, , , , 
58,87049000,-其他,15,70, , 
58,87043240,---车辆总重量超过8吨,15,70, , 
58,87043230,---车辆总重量超过5吨，但不超过8吨,15,70, , 
58,870432,--车辆总重量超过5吨：, , , , 
58,87043100,--车辆总重量不超过5吨,15,70, , 
58,87043,-装有点燃式活塞内燃发动机的其他货车：, , , , 
58,87042300,--车辆总重量超过20吨,15,40, ,10
58,87042240,---车辆总重量在14吨及以上，但不超过20吨,15,40, , 
58,87042230,---车辆总重量超过5 吨，但小于14吨,15,70, , 
58,870422,--车辆总重量超过5吨，但不超过20吨：, , , , 
58,87042100,--车辆总重量不超过5 吨,15,70, , 
58,87042,-装有压燃式活塞内燃发动机（柴油或半柴油发动机)的其他货车：, , , , 
58,87041090,---其他,6,20, , 
58,87041030,---电动轮货运自卸车,6,20, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
59,87041,-非公路用自卸车：, , , , 
59,8704,货运机动车辆：, , , , 
59,87039000,-其他,15,270, , 
59,87038000,-仅装有驱动电动机的其他车辆,15,270, , 
59,87037000,-同时装有压燃活塞内燃发动机(柴油或半柴油发动机)及驱动电动机、可通过接插外部电源进行充电的其他车辆,15,270, , 
59,87036000,-同时装有点燃往复式活塞内燃发动机及驱动电动机、可通过接插外部电源进行充电的其他车辆,15,270, , 
59,87035090,---其他,15,270, , 
59,87035079,----其他,15,270, , 
59,87035073,----9座及以下的小客车,15,270, , 
59,87035072,----越野车（4轮驱动),15,270, , 
59,87035071,----小轿车,15,270, , 
59,8703507,---气缸容量（排气量)超过4000毫升：, , , , 
59,87035069,----其他,15,270, , 
59,87035063,----9座及以下的小客车,15,270, , 
59,87035062,----越野车（4轮驱动),15,270, , 
59,87035061,----小轿车,15,270, , 
59,8703506,---气缸容量（排气量)超过3000毫升，但不超过4000毫升：, , , , 
59,87035059,----其他,15,270, , 
59,87035053,----9座及以下的小客车,15,270, , 
59,87035052,----越野车（4轮驱动),15,270, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
60,87035051,----小轿车,15,270, , 
60,8703505,---气缸容量（排气量)超过2500毫升，但不超过3000毫升：, , , , 
60,87035049,----其他,15,230, , 
60,87035043,----9座及以下的小客车,15,230, , 
60,87035042,----越野车（4轮驱动),15,230, , 
60,87035041,----小轿车,15,230, , 
60,8703504,---气缸容量（排气量)超过2000毫升，但不超过2500毫升：, , , , 
60,87035039,----其他,15,230, , 
60,87035033,----9座及以下的小客车,15,230, , 
60,87035032,----越野车（4轮驱动),15,230, , 
60,87035031,----小轿车,15,230, , 
60,8703503,---气缸容量（排气量)超过1500毫升，但不超过2000毫升：, , , , 
60,87035029,----其他,15,230, , 
60,87035023,----9座及以下的小客车,15,230, , 
60,87035022,----越野车（4轮驱动),15,230, , 
60,87035021,----小轿车,15,230, , 
60,8703502,---气缸容量（排气量)超过1000毫升，但不超过1500毫升：, , , , 
60,87035019,----其他,15,230, , 
60,87035011,----小轿车,15,230, , 
60,8703501,---气缸容量（排气量)不超过1000毫升：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
61,87035,-同时装有压燃式活塞内燃发动机（柴油或半柴油发动机)及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外：, , , , 
61,87034090,---其他,15,270, , 
61,87034079,----其他,15,270, , 
61,87034073,----9座及以下的小客车,15,270, , 
61,87034072,----越野车（4轮驱动),15,270, , 
61,87034071,----小轿车,15,270, , 
61,8703407,---气缸容量（排气量)超过4000毫升：, , , , 
61,87034069,----其他,15,270, , 
61,87034063,----9座及以下的小客车,15,270, , 
61,87034062,----越野车（4轮驱动),15,270, , 
61,87034061,----小轿车,15,270, , 
61,8703406,---气缸容量（排气量)超过3000毫升，但不超过4000毫升：, , , , 
61,87034059,----其他,15,270, , 
61,87034053,----9座及以下的小客车,15,270, , 
61,87034052,----越野车（4轮驱动),15,270, , 
61,87034051,----小轿车,15,270, , 
61,8703405,---气缸容量（排气量)超过2500毫升，但不超过3000毫升：, , , , 
61,87034049,----其他,15,230, , 
61,87034043,----9座及以下的小客车,15,230, , 
61,87034042,----越野车（4轮驱动),15,230, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
62,87034041,----小轿车,15,230, , 
62,8703404,---气缸容量（排气量)超过2000毫升，但不超过2500毫升：, , , , 
62,87034039,----其他,15,230, , 
62,87034033,----9座及以下的小客车,15,230, , 
62,87034032,----越野车（4轮驱动),15,230, , 
62,87034031,----小轿车,15,230, , 
62,8703403,---气缸容量（排气量)超过1500毫升，但不超过2000毫升：, , , , 
62,87034029,----其他,15,230, , 
62,87034023,----9座及以下的小客车,15,230, , 
62,87034022,----越野车（4轮驱动),15,230, , 
62,87034021,----小轿车,15,230, , 
62,8703402,---气缸容量（排气量)超过1000毫升，但不超过1500毫升：, , , , 
62,87034019,----其他,15,230, , 
62,87034013,----9座及以下的小客车,15,230, , 
62,87034012,----越野车（4轮驱动),15,230, , 
62,87034011,----小轿车,15,230, , 
62,8703401,---气缸容量（排气量)不超过1000毫升：, , , , 
62,87034,-同时装有点燃往复式活塞内燃发动机及驱动电动机的其他车辆，可通过接插外部电源进行充电的除外：, , , , 
62,87033369,----其他,15,270, , 
62,87033363,----9座及以下的小客车,15,270, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
63,87033362,----越野车（4轮驱动),15,270, , 
63,87033361,----小轿车,15,270, , 
63,8703336,---气缸容量（排气量)超过4000毫升：, , , , 
63,87033329,----其他,15,270, , 
63,87033323,----9座及以下的小客车,15,270, , 
63,87033322,----越野车（4轮驱动),15,270, , 
63,87033321,----小轿车,15,270, , 
63,8703332,---气缸容量（排气量)超过3000毫升，但不超过4000毫升：, , , , 
63,87033319,----其他,15,270, , 
63,87033313,----9座及以下的小客车,15,270, , 
63,87033312,----越野车（4轮驱动),15,270, , 
63,87033311,----小轿车,15,270, , 
63,8703331,---气缸容量（排气量)超过2500毫升，但不超过3000毫升：, , , , 
63,870333,--气缸容量（排气量)超过2500毫升：, , , , 
63,87033229,----其他,15,230, , 
63,87033223,----9座及以下的小客车,15,230, , 
63,87033222,----越野车（4轮驱动),15,230, , 
63,87033221,----小轿车,15,230, , 
63,8703322,---气缸容量（排气量)超过2000毫升，但不超过2500毫升：, , , , 
63,87033219,----其他,15,230, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
64,87033213,----9座及以下的小客车,15,230, , 
64,87033212,----越野车（4轮驱动),15,230, , 
64,87033211,----小轿车,15,230, , 
64,8703321,---气缸容量（排气量)超过1500毫升，但不超过2000毫升：, , , , 
64,870332,--气缸容量（排气量)超过1500毫升,但不超过2500毫升：, , , , 
64,87033129,----其他,15,230, , 
64,87033123,----9座及以下的小客车,15,230, , 
64,87033122,----越野车（4轮驱动),15,230, , 
64,87033121,----小轿车,15,230, , 
64,8703312,---气缸容量（排气量)超过1000毫升，但不超过1500毫升：, , , , 
64,87033119,----其他,15,230, , 
64,87033111,----小轿车,15,230, , 
64,8703311,---气缸容量（排气量)不超过1000毫升：, , , , 
64,870331,--气缸容量（排气量)不超过1500毫升：, , , , 
64,87033,-仅装有压燃式活塞内燃发动机（柴油或半柴油发动机)的其他车辆：, , , , 
64,87032429,----其他,15,270, , 
64,87032423,----9座及以下的小客车,15,270, , 
64,87032422,----越野车（4轮驱动),15,270, , 
64,87032421,----小轿车,15,270, , 
64,8703242,---气缸容量（排气量)超过4000毫升：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
65,87032419,----其他,15,270, , 
65,87032413,----9座及以下的小客车,15,270, , 
65,87032412,----越野车（4轮驱动),15,270, , 
65,87032411,----小轿车,15,270, , 
65,8703241,---气缸容量（排气量)超过3000毫升，但不超过4000毫升：, , , , 
65,870324,--气缸容量（排气量)超过3000毫升：, , , , 
65,87032369,----其他,15,270, , 
65,87032363,----9座及以下的小客车,15,270, , 
65,87032362,----越野车（4轮驱动),15,270, , 
65,87032361,----小轿车,15,270, , 
65,8703236,---气缸容量（排气量)超过2500毫升，但不超过3000毫升：, , , , 
65,87032359,----其他,15,270, , 
65,87032353,----9座及以下的小客车,15,270, , 
65,87032352,----越野车（4轮驱动),15,270, , 
65,87032351,----小轿车,15,270, , 
65,8703235,---气缸容量（排气量)超过2000毫升，但不超过2500毫升：, , , , 
65,87032349,----其他,15,230, , 
65,87032343,----9座及以下的小客车,15,230, , 
65,87032342,----越野车（4轮驱动),15,230, , 
65,87032341,----小轿车,15,230, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
66,8703234,---气缸容量（排气量)超过1500毫升，但不超过2000毫升：, , , , 
66,870323,--气缸容量（排气量)超过1500毫升，但不超过3000毫升：, , , , 
66,87032290,---其他,15,230, , 
66,87032250,---9座及以下的小客车,15,230, , 
66,87032240,---越野车（4轮驱动),15,230, , 
66,87032230,---小轿车,15,230, , 
66,870322,--气缸容量（排气量)超过1000毫升，但不超过1500毫升：, , , , 
66,87032190,---其他,15,230, , 
66,87032150,---9座及以下的小客车,15,230, , 
66,87032140,---越野车（4轮驱动),15,230, , 
66,87032130,---小轿车,15,230, , 
66,870321,--气缸容量（排气量)不超过1000毫升：, , , , 
66,87032,-装有点燃往复式活塞内燃发动机的其他车辆：, , , , 
66,87031090,---其他,15,150, , 
66,87031019,----其他,15,150, , 
66,87031011,----全地形车,15,150, , 
66,8703101,---高尔夫球车及类似车辆：, , , , 
66,87031,-雪地行走专用车；高尔夫球车及类似车辆：, , , , 
66,8703,主要用于载人的机动车辆（税目87.02的货品除外),包括旅行小客车及赛车：, , , , 
66,87029030,---10座及以上，但不超过19座,15,230, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
67,87029020,---20座及以上，但不超过29座,15,230, , 
67,87029010,---30座及以上（大型客车),15,90, , 
67,87029,-其他：, , , , 
67,87024030,---10座及以上，但不超过19座,15,230, , 
67,87024020,---20座及以上，但不超过29座,15,230, , 
67,87024010,---30座及以上（大型客车),15,90, , 
67,87024,-仅装有驱动电动机的车辆：, , , , 
67,87023030,---10座及以上，但不超过19座,15,230, , 
67,87023020,---20座及以上，但不超过29座,15,230, , 
67,87023010,---30座及以上（大型客车),15,90, , 
67,87023,-同时装有点燃往复式活塞内燃发动机及驱动电动机的车辆：, , , , 
67,87022093,----10座及以上，但不超过19座,15,230, , 
67,87022092,----20座及以上，但不超过29座,15,230, , 
67,87022091,----30座及以上（大型客车),15,90, , 
67,8702209,---其他：, , , , 
67,87022010,---机坪客车,4,90, , 
67,87022,-同时装有压燃式活塞内燃发动机（柴油或半柴油发动机)及驱动电动机的车辆：, , , , 
67,87021093,----10座及以上，但不超过19座,15,230, , 
67,87021092,----20座及以上，但不超过29座,15,230, , 
67,87021091,----30座及以上,15,90, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
68,8702109,---其他：, , , , 
68,87021020,---机坪客车,4,90, , 
68,87021,-仅装有压燃式活塞内燃发动机（柴油或半柴油式)的车辆：, , , , 
68,8702,客运机动车辆，10座及以上（包括驾驶座)：, , , , 
68,87019590,---其他,8,20, , 
68,87019510,---拖拉机,8,20, ,5
68,870195,--超过130千瓦：, , , , 
68,87019490,---其他,8,20, , 
68,87019410,---拖拉机,8,20, ,5
68,870194,--超过75千瓦，但不超过130千瓦：, , , , 
68,87019390,---其他,8,20, , 
68,87019310,---拖拉机,8,20, , 
68,870193,--超过37千瓦，但不超过75千瓦：, , , , 
68,87019290,---其他,8,20, , 
68,87019210,---拖拉机,8,20, , 
68,870192,--超过18千瓦，但不超过37千瓦：, , , , 
68,87019190,---其他,8,20, , 
68,87019110,---拖拉机,8,20, , 
68,870191,--不超过18千瓦：, , , , 
68,87019,-其他，其发动机功率：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
69,87013000,-履带式牵引车、拖拉机,6,20, , 
69,87012000,-半挂车用的公路牵引车,6,20, , 
69,87011000,-单轴拖拉机,9,20, , 
69,8701,牵引车、拖拉机（税目87.09的牵引车除外)：, , , , 
69,86090090,---其他,10.5,35, , 
69,86090030,---45、48、53英尺的,10.5,35, , 
69,86090029,----其他,10.5,35, , 
69,86090022,----罐式,10.5,35, , 
69,86090021,----保温式,10.5,35, , 
69,8609002,---40英尺的：, , , , 
69,86090019,----其他,10.5,35, , 
69,86090012,----罐式,10.5,35, , 
69,86090011,----保温式,10.5,35, , 
69,8609001,---20英尺的：, , , , 
69,8609,集装箱（包括运输液体的集装箱)，经特殊设计、装备适用于各种运输方式：, , , , 
69,86080090,---其他,4,20, , 
69,86080010,---轨道自动计轴设备,3,20, , 
69,8608,铁道及电车道轨道固定装置及附件；供铁道、电车道、道路、内河航道、停车场、港口或机场用的机械（包括电动机械)信号、安全或交通管理设备；上述货品的零件：, , , , 
69,86079900,--其他,3,11, , 
69,86079100,--机车用,3,11, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
70,86079,-其他：, , , , 
70,86073000,-钩、其他联结器、缓冲器及其零件,3,11, , 
70,86072900,--其他,3,11, , 
70,86072100,--空气制动器及其零件,3,11, , 
70,86072,-制动装置及其零件：, , , , 
70,86071990,---其他,3,11, , 
70,86071910,---轴,3,11, , 
70,860719,--其他，包括零件：, , , , 
70,86071200,--其他转向架,3,11, , 
70,86071100,--驾驶转向架,3,11, , 
70,86071,-转向架、轴、轮及其零件：, , , , 
70,8607,铁道及电车道机车或其他车辆的零件：, , , , 
70,86069900,--其他,5,14, , 
70,86069200,--敞篷的，厢壁固定且高度超过60厘米,5,14, , 
70,86069100,--带篷及封闭的,5,14, , 
70,86069,-其他：, , , , 
70,86063000,-自卸货车，但税号8606.1000的货品除外,5,14, , 
70,86061000,-油罐货车及类似车,5,14, , 
70,8606,铁道及电车道用的非机动有篷及无篷货车：, , , , 
70,86050090,---其他,5,14, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
71,86050010,---铁道客车,5,14, , 
71,8605,铁道及电车道用的非机动客车；行李车、邮政车和其他铁道及电车道用的非机动特殊用途车辆（税目86.04的货品除外)：, , , , 
71,86040099,----其他,7,20, , 
71,86040091,----电气化接触网架线机（轨行式),5,20, , 
71,8604009,---其他：, , , , 
71,86040019,----其他,5,14, , 
71,86040012,----钢轨在线打磨列车,3,14, , 
71,86040011,----隧道限界检查车,3,14, , 
71,8604001,---检验车及查道车：, , , , 
71,8604,铁道及电车道用的维修或服务车，不论是否机动（例如，工场车、起重机车、道碴捣固车、轨道校正车、检验车及查道车)：, , , , 
71,86039000,-其他,3,11, , 
71,86031000,-由外部电力驱动,3,11, , 
71,8603,铁道及电车道用的机动客车、货车、敞车，但税目86.04的货品除外：, , , , 
71,86029000,-其他,3,11, , 
71,86021090,---其他,3,11, , 
71,86021010,---微型机控制的,3,11, , 
71,86021,-柴油电力机车：, , , , 
71,8602,其他铁道机车；机车煤水车：, , , , 
71,86012000,-由蓄电池驱动,3,11, , 
71,86011090,---其他,3,11, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
72,86011020,---交流电机驱动的,3,11, , 
72,86011019,----其他,3,11, , 
72,86011011,----微型机控制的,3,11, , 
72,8601101,---直流电机驱动的：, , , , 
72,86011,-由外部电力驱动：, , , , 
72,8601,铁道电力机车，由外部电力或蓄电池驱动：, , , , 
72,85489000,-其他,12,40, ,3
72,85481000,-原电池、原电池组及蓄电池的废碎料；废原电池、废原电池组及废蓄电池,8,36, , 
72,8548,原电池、原电池组及蓄电池的废碎料；废原电池、废原电池组及废蓄电池；机器或设备的本章其他税号未列名的电气零件：, , , , 
72,85479090,---其他,8,35, , 
72,85479010,---内衬绝缘材料的贱金属制线路导管及其接头,10,50, , 
72,85479,-其他：, , , , 
72,85472000,-塑料制绝缘零件,8,35, , 
72,85471000,-陶瓷制绝缘零件,8,35, , 
72,8547,电气机器、器具或设备用的绝缘零件，除了为装配需要而在模制时装入的小金属零件（例如，螺纹孔)以外，全部用绝缘材料制成，但税目85.46的绝缘子除外；内衬绝缘材料的贱金属制线路导管及其接头：, , , , 
72,85469000,-其他,10,35, , 
72,85462090,---其他,12,35, ,3
72,85462010,---输变电线路绝缘瓷套管,6,35, , 
72,85462,-陶瓷制：, , , , 
72,85461000,-玻璃制,10.5,35, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
73,8546,各种材料制的绝缘子：, , , , 
73,85459000,-其他,10.5,35, , 
73,85452000,-碳刷,10.5,35, , 
73,85451900,--其他,10.5,35, , 
73,85451100,--炉用,8,35, , 
73,85451,-碳电极：, , , , 
73,8545,碳电极、碳刷、灯碳棒、电池碳棒及电气设备用的其他石墨或碳精制品，不论是否带金属：, , , , 
73,85447000,-光缆,0,20, , 
73,85446090,---其他,21,70, ,10
73,85446019,----其他,8.4,20, , 
73,85446014,----额定电压超过110千伏，但不超过220千伏,8.4,20, , 
73,85446013,----额定电压超过35千伏，但不超过110千伏,8.4,20, , 
73,85446012,----额定电压不超过35千伏,10,50, , 
73,8544601,---电缆：, , , , 
73,85446,-其他电导体，额定电压超过1000伏：, , , , 
73,85444929,----其他,12,70, , 
73,85444921,----电缆,6,20, , 
73,8544492,---额定电压超过80伏，但不超过1000伏：, , , , 
73,85444919,----其他,0,70, , 
73,85444911,----电缆,0,20, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
74,8544491,---额定电压不超过80伏：, , , , 
74,854449,--其他：, , , , 
74,85444229,----其他,0,70, , 
74,85444221,----电缆,0,20, , 
74,8544422,---额定电压超过80伏，但不超过1000伏：, , , , 
74,85444219,----其他,0,70, , 
74,85444211,----电缆,0,20, , 
74,8544421,---额定电压不超过80伏：, , , , 
74,854442,--有接头：, , , , 
74,85444,-其他电导体，额定电压不超过1000伏：, , , , 
74,85443090,---其他,5,70, , 
74,85443020,---机动车辆用,10,20, ,5
74,85443,-车辆、航空器、船舶用点火布线组及其他布线组：, , , , 
74,85442000,-同轴电缆及其他同轴电导体,10,20, , 
74,85441900,--其他,20,70, , 
74,85441100,--铜制,10,70, ,6
74,85441,-绕组电线：, , , , 
74,8544,绝缘（包括漆包或阳极化处理)电线、电缆（包括同轴电缆)及其他绝缘电导体，不论是否有接头；由每根被覆光纤组成的光缆，不论是否与电导体装配或装有接头：, , , , 
74,85439090,---其他,0,35, , 
74,85439040,---高、中频放大器用,0,17, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
75,85439030,---金属、矿藏探测器用,0,17, , 
75,85439029,----其他,0,20, , 
75,85439021,----输出信号频率在1500兆赫兹以下的通用信号发生器用,0,80, , 
75,8543902,---信号发生器用：, , , , 
75,85439010,---粒子加速器用,0,11, , 
75,85439,-零件：, , , , 
75,85437099,----其他,0,35, , 
75,85437093,----电篱网激发器,10,35, , 
75,85437092,----高、中频放大器,0,17, , 
75,85437091,----金属、矿藏探测器,0,17, , 
75,85437,-其他设备及装置：, , , , 
75,85433000,-电镀、电解或电泳设备及装置,0,35, , 
75,85432090,---其他,6/5,20, , 
75,85432010,---输出信号频率在1500兆赫兹以下的通用信号发生器,11.3/9.4,80, , 
75,85432,-信号发生器：, , , , 
75,85431000,-粒子加速器,5,11, , 
75,8543,本章其他税号未列名的具有独立功能的电气设备及装置：, , , , 
75,85429000,-零件,0,30, , 
75,85423990,---其他,0,24, , 
75,85423910,---多元件集成电路,2.7/2.1,45, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
76,854239,--其他：, , , , 
76,85423390,---其他,0,24, , 
76,85423310,---多元件集成电路,2.7/2.1,45, , 
76,854233,--放大器：, , , , 
76,85423290,---其他,0,24, , 
76,85423210,---多元件集成电路,2.7/2.1,45, , 
76,854232,--存储器：, , , , 
76,85423190,---其他,0,24, , 
76,85423119,----其他,2.5/1.9,46, , 
76,85423111,----具有变流功能的半导体模块,6.7,30, ,1-6月[注5]：5%
76,8542311,---多元件集成电路：, , , , 
76,854231,--处理器及控制器，不论是否带有存储器、转换器、逻辑电路、放大器、时钟及时序电路或其他电路：, , , , 
76,85423,-集成电路：, , , , 
76,8542,集成电路：, , , , 
76,85419000,-零件,0,30, , 
76,85416000,-已装配的压电晶体,0,30, , 
76,85415000,-其他半导体器件,0,30, , 
76,85414090,---其他,0,30, , 
76,85414020,---太阳能电池,0,30, , 
76,85414010,---发光二极管,0,30, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
77,85414,-光敏半导体器件，包括不论是否装在组件内或组装成块的光电池；发光二极管：, , , , 
77,85413000,-半导体开关元件、两端交流开关元件及三端双向可控硅开关元件，但光敏器件除外,0,30, , 
77,85412900,--其他,0,30, , 
77,85412100,--耗散功率小于1瓦的,0,30, , 
77,85412,-晶体管，但光敏晶体管除外：, , , , 
77,85411000,-二极管，但光敏二极管或发光二极管除外,0,30, , 
77,8541,二极管、晶体管及类似的半导体器件；光敏半导体器件，包括不论是否装在组件内或组装成块的光电池；发光二极管；已装配的压电晶体：, , , , 
77,85409990,---其他,8,17, , 
77,85409910,---电视摄像管用,8,35, , 
77,854099,--其他：, , , , 
77,85409190,---其他,8,17, ,4
77,85409120,---雷达显示管用,5,14, , 
77,85409110,---电视显像管用,6,40, , 
77,854091,--阴极射线管用：, , , , 
77,85409,-零件：, , , , 
77,85408900,--其他,8,17, , 
77,85408100,--接收管或放大管,8,17, , 
77,85408,-其他管：, , , , 
77,85407990,---其他,8,17, , 
77,85407910,---速调管,8,17, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
78,854079,--其他：, , , , 
78,85407100,--磁控管,8,17, , 
78,85407,-微波管（例如，磁控管、速调管、行波管、返波管)，但不包括栅控管：, , , , 
78,85406090,---其他,8,17, , 
78,85406010,---雷达显示管,6,14, , 
78,85406,-其他阴极射线管：, , , , 
78,85404020,---单色的数据/图形显示管,8,17, , 
78,85404010,---彩色的数据/图形显示管，屏幕荧光点间距小于0.4毫米,8,17, , 
78,85404,-单色的数据/图形显示管；彩色的数据/图形显示管，屏幕荧光点间距小于0.4毫米：, , , , 
78,85402090,---其他,8,17, , 
78,85402010,---电视摄像管,12,35, , 
78,85402,-电视摄像管；变像管及图像增强管；其他光阴极管：, , , , 
78,85401200,--单色的,15,40, , 
78,85401100,--彩色的,12,40, , 
78,85401,-阴极射线电视显像管，包括视频监视器用阴极射线管：, , , , 
78,8540,热电子管、冷阴极管或光阴极管（例如，真空管或充气管、汞弧整流管、阴极射线管、电视摄像管)：, , , , 
78,85399000,-零件,8,20, , 
78,85395000,-发光二极管（LED)灯泡（管),10,80, , 
78,85394900,--其他,8,20, , 
78,85394100,--弧光灯,8,20, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
79,85394,-紫外线灯管或红外线灯泡；弧光灯：, , , , 
79,85393990,---其他,8,70, , 
79,85393920,---火车、航空器及船舶用,8,20, , 
79,85393910,---科研、医疗专用,8,20, , 
79,853939,--其他：, , , , 
79,85393290,---其他,8,70, , 
79,85393240,---汞蒸汽灯,8,20, ,3
79,85393230,---钠蒸汽灯,8,20, , 
79,853932,--汞或钠蒸汽灯；金属卤化物灯：, , , , 
79,85393199,----其他,8,70, , 
79,85393191,----紧凑型,8,70, , 
79,8539319,---其他：, , , , 
79,85393120,---火车、航空器及船舶用,8,20, , 
79,85393110,---科研、医疗专用,8,20, , 
79,853931,--热阴极荧光灯：, , , , 
79,85393,-放电灯管，但紫外线灯管除外：, , , , 
79,85392999,----其他,6,70, , 
79,85392991,----12伏及以下的,6,70, , 
79,8539299,---其他：, , , , 
79,85392930,---机动车辆用,5,45, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
80,85392920,---火车、航空器及船舶用,10.5,20, , 
80,85392910,---科研、医疗专用,5,20, , 
80,853929,--其他：, , , , 
80,85392290,---其他,5,70, , 
80,85392210,---科研、医疗专用,10.5,20, , 
80,853922,--其他灯，功率不超过200瓦，但额定电压超过100伏：, , , , 
80,85392190,---其他,6,70, , 
80,85392130,---机动车辆用,10,45, , 
80,85392120,---火车、航空器及船舶用,8,20, , 
80,85392110,---科研、医疗专用,8,20, , 
80,853921,--卤钨灯：, , , , 
80,85392,-其他白炽灯泡，但不包括紫外线灯管或红外线灯泡：, , , , 
80,85391000,-封闭式聚光灯,10,45, , 
80,8539,白炽灯泡、放电灯管，包括封闭式聚光灯及紫外线灯管或红外线灯泡；弧光灯；发光二极管(LED)灯泡（管)：, , , , 
80,85389000,-其他,7,50, , 
80,85381090,---其他,4.7/3.5,50, , 
80,85381010,---税号8537.2010所列货品用,5.6/4.2,50, , 
80,85381,-税目85.37所列货品用的盘、板、台、柜及其他基座，但未装有关装置：, , , , 
80,8538,专用于或主要用于税目85.35、85.36或85.37所列装置的零件：, , , , 
80,85372090,---其他,8.4,50, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
81,85372010,---全封闭组合式高压开关装置，用于电压在500千伏及以上的线路,8.4,30, , 
81,85372,-用于电压超过1000伏的线路：, , , , 
81,85371090,---其他,8.4,50, ,4
81,85371019,----其他,5,14, ,3
81,85371011,----可编程序控制器,5,14, ,3
81,8537101,---数控装置：, , , , 
81,85371,-用于电压不超过1000伏的线路：, , , , 
81,8537,用于电气控制或电力分配的盘、板、台、柜及其他基座，装有两个或多个税目85.35或85.36所列的装置，包括装有第九十章所列的仪器或装置，以及数控装置，但税目85.17的交换机除外：, , , , 
81,85369090,---其他,0,50, , 
81,85369019,----其他,0,50, , 
81,85369011,----工作电压不超过36伏的,0,50, , 
81,8536901,---接插件:, , , , 
81,85369,-其他装置:, , , , 
81,85367000,-光导纤维、光导纤维束或光缆用连接器,8,30, , 
81,85366900,--其他,0,50, , 
81,85366100,--灯座,10,50, , 
81,85366,-灯座、插头及插座：, , , , 
81,85365000,-其他开关,0,50, , 
81,85364900,--其他,10,50, , 
81,85364190,---其他,10,50, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
82,85364110,---用于电压不超过36伏的线路,10,50, , 
